secret,attack,success,total,rate
cat,no_attack,6,9,66.66666666666667
cat,jpeg70,3,9,33.333333333333336
cat,jpeg50,3,9,33.333333333333336
cat,gauss10,3,9,33.333333333333336
dog,no_attack,9,9,100.0
dog,jpeg70,3,9,33.333333333333336
dog,jpeg50,6,9,66.66666666666667
dog,gauss10,3,9,33.333333333333336
hello,no_attack,6,9,66.66666666666667
hello,jpeg70,6,9,66.66666666666667
hello,jpeg50,3,9,33.333333333333336
hello,gauss10,3,9,33.333333333333336
JNU,no_attack,9,9,100.0
JNU,jpeg70,9,9,100.0
JNU,jpeg50,6,9,66.66666666666667
JNU,gauss10,6,9,66.66666666666667
secret,no_attack,6,9,66.66666666666667
secret,jpeg70,3,9,33.333333333333336
secret,jpeg50,3,9,33.333333333333336
secret,gauss10,6,9,66.66666666666667
data,no_attack,9,9,100.0
data,jpeg70,6,9,66.66666666666667
data,jpeg50,6,9,66.66666666666667
data,gauss10,6,9,66.66666666666667
test,no_attack,6,9,66.66666666666667
test,jpeg70,6,9,66.66666666666667
test,jpeg50,6,9,66.66666666666667
test,gauss10,3,9,33.333333333333336
你好,no_attack,6,9,66.66666666666667
你好,jpeg70,6,9,66.66666666666667
你好,jpeg50,6,9,66.66666666666667
你好,gauss10,3,9,33.333333333333336
