attack,param,success,total,rate
jpeg,95,60,60,100.0
jpeg,90,60,60,100.0
jpeg,85,60,60,100.0
jpeg,80,60,60,100.0
jpeg,75,60,60,100.0
jpeg,70,48,60,80.0
jpeg,65,48,60,80.0
jpeg,60,48,60,80.0
jpeg,55,48,60,80.0
jpeg,50,48,60,80.0
jpeg,45,60,60,100.0
jpeg,40,48,60,80.0
jpeg,35,48,60,80.0
jpeg,30,36,60,60.0
jpeg,25,24,60,40.0
jpeg,20,24,60,40.0
jpeg,15,12,60,20.0
jpeg,10,12,60,20.0
jpeg,5,0,60,0.0
gaussian,1,60,60,100.0
gaussian,2,60,60,100.0
gaussian,3,60,60,100.0
gaussian,4,60,60,100.0
gaussian,5,60,60,100.0
gaussian,6,60,60,100.0
gaussian,7,60,60,100.0
gaussian,8,60,60,100.0
gaussian,9,60,60,100.0
gaussian,10,48,60,80.0
gaussian,11,36,60,60.0
gaussian,12,24,60,40.0
gaussian,13,24,60,40.0
gaussian,14,24,60,40.0
gaussian,15,12,60,20.0
gaussian,16,12,60,20.0
gaussian,17,12,60,20.0
gaussian,18,12,60,20.0
gaussian,19,12,60,20.0
gaussian,20,12,60,20.0
crop,0.95,0,60,0.0
crop,0.93,0,60,0.0
crop,0.9,0,60,0.0
crop,0.87,0,60,0.0
crop,0.85,0,60,0.0
crop,0.83,0,60,0.0
crop,0.8,0,60,0.0
crop,0.77,0,60,0.0
crop,0.75,0,60,0.0
crop,0.7,0,60,0.0
crop,0.65,0,60,0.0
crop,0.6,0,60,0.0
crop,0.55,0,60,0.0
crop,0.5,0,60,0.0
